method_name,seed,num_GPUs,K,n_obs,n_dim,setup_time,initialization_time,computation_time,n_iter
distributedFuzzyCMeans,123128,6,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,6,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,6,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,4,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,4,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,5,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,5,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,6,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,6,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,7,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,7,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,8,3,75000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,8,3,75000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,1,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,1,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,2,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,2,15,50000000,5,InternalError,InternalError,InternalError,20
distributedKMeans,123128,3,15,50000000,5,InternalError,InternalError,InternalError,20
distributedFuzzyCMeans,123128,3,15,50000000,5,InternalError,InternalError,InternalError,20
